model,seed,epoch,loss_type,loss_value
gnn,101,45,val,0.36686301774522556
gnn,101,46,train,0.3501027281412685
gnn,101,46,val,0.3488210412557176
gnn,101,47,train,0.31831940358429395
gnn,101,47,val,0.35760900766821563
gnn,101,48,train,0.3032466429541876
gnn,101,48,val,0.3645707606183221
gnn,101,49,train,0.31997217405816214
gnn,101,49,val,0.35266483652808417
gnn,101,50,train,0.3445247075704511
gnn,101,50,val,0.3426831643609383
gnn,101,51,train,0.3238117137147619
gnn,101,51,val,0.35817234944779813
gnn,101,52,train,0.34897285014392454
gnn,101,52,val,0.3637949528788069
gnn,101,53,train,0.33564627294481447
gnn,101,53,val,0.368272325857972
gnn,101,54,train,0.31683547363339465
gnn,101,54,val,0.3833690894350731
gnn,101,55,train,0.3418595038351731
gnn,101,55,val,0.3522111615928359
gnn,101,56,train,0.3438419454614239
gnn,101,56,val,0.37423204403404486
gnn,101,57,train,0.32458106956552707
gnn,101,57,val,0.34989359620392513
gnn,101,58,train,0.30926803476295833
gnn,101,58,val,0.37368250558727023
gnn,101,59,train,0.32483025240476093
gnn,101,59,val,0.36072384064058155
gnn,101,60,train,0.3263962651197959
gnn,101,60,val,0.35445957111151544
gnn,101,61,train,0.34240769086502965
gnn,101,61,val,0.3653629652874468
gnn,101,62,train,0.3226779206657407
gnn,101,62,val,0.363929065570519
gnn,101,63,train,0.34377465084928144
gnn,101,63,val,0.3649537139911009
gnn,101,64,train,0.3315622718745993
gnn,101,64,val,0.3506986895478217
gnn,101,65,train,0.32573835562356884
gnn,101,65,val,0.3534382238070851
gnn,101,66,train,0.32940799863394116
gnn,101,66,val,0.3480180835213675
gnn,101,67,train,0.31188053353255996
